GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tourguide-modulith,com.redha.tourguide_modulith.location.internal,LocationService,25,221,2,6,6,40,3,15,2,12
tourguide-modulith,com.redha.tourguide_modulith.location.internal,GpsUtilAdapter,0,65,0,0,0,13,0,5,0,5
tourguide-modulith,com.redha.tourguide_modulith.reward.internal,RewardService,8,105,0,6,2,22,1,9,1,6
tourguide-modulith,com.redha.tourguide_modulith.reward.internal,RewardCentralAdapter,0,14,0,0,0,4,0,2,0,2
tourguide-modulith,com.redha.tourguide_modulith.reward.internal,RewardEventListener,0,16,0,0,0,4,0,2,0,2
tourguide-modulith,com.redha.tourguide_modulith.gateway.internal,GatewayService,0,23,0,0,0,6,0,2,0,2
tourguide-modulith,com.redha.tourguide_modulith.user,VisitedLocationAddedEvent,0,10,0,0,0,4,0,1,0,1
tourguide-modulith,com.redha.tourguide_modulith.user,UsersInitializedEvent,0,4,0,0,0,2,0,1,0,1
tourguide-modulith,com.redha.tourguide_modulith.user.internal,UserService,21,76,2,0,4,18,2,11,1,11
tourguide-modulith,com.redha.tourguide_modulith.user.internal,StartupInitializer,0,161,0,0,0,39,0,9,0,9
tourguide-modulith,com.redha.tourguide_modulith.user.internal,UserEventListener,0,23,0,0,0,4,0,2,0,2
tourguide-modulith,com.redha.tourguide_modulith.tracker.internal,TrackerService,4,102,3,3,2,32,3,6,0,6
tourguide-modulith,com.redha.tourguide_modulith.trip.internal,TripPricerAdapter,27,8,0,0,5,3,2,1,2,1
tourguide-modulith,com.redha.tourguide_modulith.trip.internal,Provider,0,12,0,0,0,1,0,1,0,1
tourguide-modulith,com.redha.tourguide_modulith.trip.internal,TripService,0,62,0,0,0,20,0,4,0,4
tourguide-modulith,com.redha.tourguide_modulith.gateway,GatewayController,5,27,0,0,1,6,1,6,1,6
tourguide-modulith,com.redha.tourguide_modulith,TourguideModulithApplication,5,0,0,0,2,0,1,0,1,0
